X				Y			OBJECTID	SPECIES	DIAMETER
-89.39344774	43.04180882	1	554	22
-89.3936258		43.04181264	2	554	20
-89.39371532	43.04304769	3	320	14
-89.39341498	43.04313653	4	320	20
-89.39312272	43.04322522	5	320	20
-89.39311758	43.04334406	6	320	17
-89.39309278	43.04385132	7	320	20
-89.39309535	43.04399051	8	320	18
-89.39308034	43.0442814	9	1	0
-89.39284312	43.0444632	10	554	8
-89.39271265	43.0444625	11	554	17
-89.39252832	43.04445944	12	554	20
-89.39235253	43.04445226	13	554	19
-89.39219652	43.04445351	14	554	24
-89.39202637	43.04445052	15	554	19
-89.39189188	43.04456838	16	544	21
-89.39188762	43.0447119	17	544	15
-89.39188619	43.04485544	18	544	11
-89.39187544	43.04508006	19	544	8
-89.39186271	43.04521937	20	1	0
-89.39186124	43.04536707	21	544	15
-89.39186002	43.0454898	22	661	1
-89.39201121	43.04568824	23	554	19
-89.39222389	43.04569354	24	554	13
-89.39236862	43.04568599	25	1	0
-89.39255578	43.04569115	26	554	21
-89.39289886	43.04570338	27	554	8
-89.39266229	43.04581862	28	554	11
-89.39248646	43.0458156	29	554	15
-89.39228792	43.04581454	30	554	22
-89.39211212	43.04580944	31	554	22
-89.39196463	43.04580865	32	554	18
-89.39157049	43.04579614	33	554	10
-89.39141451	43.04579323	34	554	10
-89.39107702	43.04578934	35	554	20
-89.39088982	43.04578834	36	554	14
-89.39070836	43.04578113	37	554	6
-89.39034252	43.04577501	38	554	18
-89.39018653	43.04577417	39	554	16
-89.39002769	43.04577332	40	554	15
-89.38986607	43.04576829	41	554	14
-89.38967602	43.04576936	42	554	21
-89.38967811	43.04555925	43	320	21
-89.3896763		43.04545731	44	320	19
-89.38968213	43.04515777	45	970	5
-89.38969261	43.04496019	46	975	22
-89.38969438	43.04478337	47	1	0
-89.38969714	43.0445067	48	320	18
-89.38963177	43.04423591	49	320	16
-89.38963023	43.04410692	50	320	13
-89.3896371		43.04398629	51	320	12
-89.38981824	43.04430972	52	554	14
-89.38999404	43.04431482	53	554	15
-89.39018405	43.04431792	54	554	19
-89.39034004	43.04431876	55	554	22
-89.39047616	43.04432157	56	554	20
-89.39045818	43.04441716	57	554	21
-89.39027383	43.04441618	58	554	18
-89.39000451	43.04440225	59	554	24
-89.38980879	43.04440328	60	554	14
-89.3899382		43.04564594	61	554	14
-89.39022748	43.04564957	62	554	18
-89.39040617	43.04565053	63	554	19
-89.39056022	43.0455619	64	547	21
-89.39056428	43.04543918	65	547	23
